10:	 29.2460123698ns
12:	 18.5436672635ns
15:	 14.9011611938ns
19:	 11.8326257776ns
25:	 10.2397723076ns
31:	 9.04003779093ns
39:	 8.17733898497ns
50:	 8.21431477865ns
63:	 7.83512669225ns
79:	 7.49897753072ns
100:	 7.45455423991ns
125:	 6.94827997638ns
158:	 7.04953935751ns
199:	 7.07469002566ns
251:	 7.5410913538ns
316:	 7.18229125021ns
398:	 7.74981294173ns
501:	 9.27229801497ns
630:	 8.51266658646ns
794:	 8.47941109515ns
1000:	 8.04506937663ns
1258:	 9.40506811271ns
1584:	 7.81919467013ns
1995:	 8.26862595106ns
2511:	 8.02814633267ns
3162:	 7.8533516285ns
3981:	 7.91875903072ns
5011:	 8.0809288672ns
6309:	 7.9177565971ns
7943:	 8.07007861984ns
10000:	 8.25525728861ns
