10:	 12.0798746745ns
12:	 6.40198036476ns
15:	 4.11555880592ns
19:	 2.56079214591ns
25:	 1.68115664751ns
31:	 1.25832027859ns
39:	 0.878384238795ns
50:	 0.597635904948ns
63:	 0.432614357241ns
79:	 0.341325743586ns
100:	 0.267028808594ns
125:	 0.1790479174ns
158:	 0.143894137897ns
199:	 0.114794130679ns
251:	 0.0888077670304ns
316:	 0.0681268705973ns
398:	 0.0664263946892ns
501:	 0.117911127301ns
630:	 0.055745135149ns
794:	 0.0442219022755ns
1000:	 0.0416119893392ns
1258:	 0.0353131468562ns
1584:	 0.0297612723569ns
1995:	 0.0238576884889ns
2511:	 0.0214629357567ns
3162:	 0.0232292275712ns
3981:	 0.0146465835338ns
5011:	 0.0231574767407ns
6309:	 0.031450930572ns
7943:	 0.0269217332119ns
10000:	 0.0225563049316ns
